"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14484","Успешное создание нового проекта","chromium","Wed Jul 09 19:22:57 GMT 2025","failed","Wed Jul 09 19:23:11 GMT 2025","Создание проекта","","",""
"","5363","Успешная авторизация ранее зарегистрированного пользователя","chromium","Wed Jul 09 19:18:59 GMT 2025","passed","Wed Jul 09 19:19:04 GMT 2025","","","",""
"","49930","Успешное восстановление ранее заархивированного проекта","chromium","Wed Jul 09 19:25:44 GMT 2025","failed","Wed Jul 09 19:26:34 GMT 2025","Восстановление заархивированного проекта","","",""
"","14833","Успешное архивирование ранее созданного проекта","chromium","Wed Jul 09 19:23:45 GMT 2025","failed","Wed Jul 09 19:24:00 GMT 2025","Архивация проекта","","",""
"","4645","Успешный Выход из УЗ","chromium","Wed Jul 09 19:22:03 GMT 2025","passed","Wed Jul 09 19:22:07 GMT 2025","","","",""
"","19969","Успешное удаление ранее заархивированного проекта","chromium","Wed Jul 09 19:27:16 GMT 2025","failed","Wed Jul 09 19:27:36 GMT 2025","Удаление заархивированного проекта","","",""
"","19278","Успешное создание новой конфигурации проекта","chromium","Wed Jul 09 19:19:08 GMT 2025","passed","Wed Jul 09 19:19:27 GMT 2025","Создание конфигурации","","",""
"","3219","Невозможность авторизоваться с невалидными данными","chromium","Wed Jul 09 19:19:05 GMT 2025","passed","Wed Jul 09 19:19:08 GMT 2025","","","",""
"","60001","Успешное удаление ранее созданной конфигурации","chromium","Wed Jul 09 19:21:02 GMT 2025","broken","Wed Jul 09 19:22:02 GMT 2025","Удаление конфигурации","","",""
