"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31274","Успешное архивирование ранее созданного проекта","chromium","Wed Jul 09 19:16:44 GMT 2025","failed","Wed Jul 09 19:17:15 GMT 2025","Архивация проекта","","",""
"","3383","Успешный Выход из УЗ","chromium","Wed Jul 09 19:15:04 GMT 2025","passed","Wed Jul 09 19:15:07 GMT 2025","","","",""
"","2997","Невозможность авторизоваться с невалидными данными","chromium","Wed Jul 09 19:11:48 GMT 2025","passed","Wed Jul 09 19:11:51 GMT 2025","","","",""
"","31195","Успешное удаление ранее созданной конфигурации","chromium","Wed Jul 09 19:14:32 GMT 2025","failed","Wed Jul 09 19:15:03 GMT 2025","Удаление конфигурации","","",""
"","31271","Успешное создание новой конфигурации проекта","chromium","Wed Jul 09 19:12:55 GMT 2025","failed","Wed Jul 09 19:13:26 GMT 2025","Создание конфигурации","","",""
"","1212","Успешная авторизация ранее зарегистрированного пользователя","chromium","Wed Jul 09 19:11:46 GMT 2025","failed","Wed Jul 09 19:11:47 GMT 2025","","","",""
"","31410","Успешное создание нового проекта","chromium","Wed Jul 09 19:16:11 GMT 2025","failed","Wed Jul 09 19:16:43 GMT 2025","Создание проекта","","",""
