"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3918","Успешный Выход из УЗ","chromium","Wed Jul 09 20:07:32 GMT 2025","passed","Wed Jul 09 20:07:36 GMT 2025","","","",""
"","20240","Успешное удаление ранее заархивированного проекта","chromium","Wed Jul 09 20:09:42 GMT 2025","passed","Wed Jul 09 20:10:02 GMT 2025","Удаление заархивированного проекта","","",""
"","13649","Успешное создание нового проекта","chromium","Wed Jul 09 20:07:50 GMT 2025","passed","Wed Jul 09 20:08:04 GMT 2025","Создание проекта","","",""
"","25061","Успешное создание новой конфигурации проекта","chromium","Wed Jul 09 20:04:34 GMT 2025","passed","Wed Jul 09 20:04:59 GMT 2025","Создание конфигурации","","",""
"","4674","Успешная авторизация ранее зарегистрированного пользователя","chromium","Wed Jul 09 20:04:26 GMT 2025","passed","Wed Jul 09 20:04:30 GMT 2025","","","",""
"","28524","Успешное восстановление ранее заархивированного проекта","chromium","Wed Jul 09 20:09:13 GMT 2025","passed","Wed Jul 09 20:09:42 GMT 2025","Восстановление заархивированного проекта","","",""
"","3073","Невозможность авторизоваться с невалидными данными","chromium","Wed Jul 09 20:04:31 GMT 2025","passed","Wed Jul 09 20:04:34 GMT 2025","","","",""
"","18605","Успешное архивирование ранее созданного проекта","chromium","Wed Jul 09 20:08:04 GMT 2025","passed","Wed Jul 09 20:08:23 GMT 2025","Архивация проекта","","",""
"","30410","Успешное удаление ранее созданной конфигурации","chromium","Wed Jul 09 20:07:01 GMT 2025","passed","Wed Jul 09 20:07:32 GMT 2025","Удаление конфигурации","","",""
