"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1539","Успешная авторизация ранее зарегистрированного пользователя","chromium","Wed Jul 09 18:59:20 GMT 2025","failed","Wed Jul 09 18:59:22 GMT 2025","","","",""
"","31400","Успешное создание нового проекта","chromium","Wed Jul 09 19:03:51 GMT 2025","failed","Wed Jul 09 19:04:22 GMT 2025","Создание проекта","","",""
"","33143","Успешное удаление ранее созданной конфигурации","chromium","Wed Jul 09 19:02:08 GMT 2025","failed","Wed Jul 09 19:02:41 GMT 2025","Удаление конфигурации","","",""
"","3219","Невозможность авторизоваться с невалидными данными","chromium","Wed Jul 09 18:59:23 GMT 2025","passed","Wed Jul 09 18:59:26 GMT 2025","","","",""
"","31653","Успешное создание новой конфигурации проекта","chromium","Wed Jul 09 19:00:30 GMT 2025","failed","Wed Jul 09 19:01:02 GMT 2025","Создание конфигурации","","",""
"","31342","Успешное архивирование ранее созданного проекта","chromium","Wed Jul 09 19:05:28 GMT 2025","failed","Wed Jul 09 19:05:59 GMT 2025","Архивация проекта","","",""
"","4468","Успешный Выход из УЗ","chromium","Wed Jul 09 19:02:42 GMT 2025","passed","Wed Jul 09 19:02:46 GMT 2025","","","",""
"","1405","Успешное удаление ранее заархивированного проекта","chromium","Wed Jul 09 19:07:42 GMT 2025","failed","Wed Jul 09 19:07:43 GMT 2025","Удаление заархивированного проекта","","",""
"","31570","Успешное восстановление ранее заархивированного проекта","chromium","Wed Jul 09 19:07:05 GMT 2025","failed","Wed Jul 09 19:07:36 GMT 2025","Восстановление заархивированного проекта","","",""
